Name,Enchantment Type,Description,Socket Gem,Fills EC,Roll Req.,Upgradable,Cost
Magistrike,Weapons,This weapon is imbued with a hovering orb that assists in attacks. Each attack (successful or not) comes with a Magic Missile at the wielder’s level.,Flawed Onyx,2,14,,"10,000c"
Radiance,Weapons,"This weapon glows brightly, providing light up to 7 spaces away, and also deals double damage to undead and demons.",Flawed Diamond,2,14,,"10,000c"
Recoil,Weapons,"The wielder can choose for an attack with this weapon to cause a recoil, knocking back both them and their target 4 spaces. If either crash into anything, they’ll take appropriate impact damage.",Flawed Realgar,2,14,,"10,000c"
Silent,Weapons,Neither this weapon nor its target will make noise on a successful attack. Its Attacker may stay in Stealth.,Flawed Proteus,2,14,,"10,000c"
Accurate,Weapons,Attacks with this weapon take the higher of 2d20 rolls.,Tiger's Eye,3,18,X,"20,000c"
Curative,Weapons,"Once a day, this weapon can heal an ally or harm a Undead/Demon target for 2d6 HP/Damage for 1 action.",Sapphire,3,18,X,"20,000c"
Dispel,Weapons,"Attacks with this weapon remove 1 magical effect from the target, prioritizing positive effects.",Amethyst,3,18,X,"20,000c"
Lifedrinker,Weapons,Attacks with this weapon heal the wielder for ¼ the damage dealt.,Ruby,3,18,X,"20,000c"
Bane,Weapons,This weapon has the Favored Enemy feat (Choose an enemy from Favored Enemies list).,Opal,3,18,,"20,000c"
Overcoming,Weapons,Each successful attack with this weapon increases the wielder’s Attacks against that target by +2.,Cinnabar,3,18,,"20,000c"
Quantum Shot,Weapons,Unsuccessful attacks with this ranged weapon will hit the closest enemy to the target.,Topaz,3,18,,"20,000c"
Wrecker,Weapons,"Before each attack, the wielder may choose to sacrifice accuracy for this weapon to bypass its target’s Armor. For every 2 Attack sacrificed, the attack will bypass 1 Armor.",Onyx,3,18,,"20,000c"
Anarchic,Weapons,This weapon deals double damage against Lawful and Construct targets.,Flawless Proteus,4,22,,"30,000c"
Aperture,Weapons,This weapon adds an extra die of damage if its target’s HP is above 60.,Flawless Realgar,4,22,,"30,000c"
Exploding,Weapons,"Attacks with this weapon deal half damage to everyone adjacent to the target, including the wielder (if melee).",Flawless Cinnabar,4,22,,"30,000c"
Return,Weapons,"If the wielder is not holding this weapon, they may use 1 action to bring it zooming back into their hand.",Flawless Orthoclase,4,22,,"30,000c"
Righteous,Weapons,"This weapon deals an extra die of damage against Evil, Undead, and Demons. It also prevents its own damage against anyone its wielder chooses.",Flawless Topaz,4,22,,"30,000c"
Slaying,Weapons,"If an attack with this weapon brings your target to 10 HP or less, it instantly kills them.",Flawless Peridot,4,22,,"30,000c"
Breaching,Weapons,"This weapon ignores the effects of shields and has +5 Athletics when knocking down doors, walls, and other barriers.",Brilliant Quartz,5,26,,"40,000c"
Failsafe,Weapons,"If an attack with this weapon rolls a Natural 1, no extra effect is incurred.",Brilliant Orthoclase,5,26,,"40,000c"
Opening,Weapons,This weapon surpasses all mechanical locks. Attacks with it also reduce the target's Armor by 1.,Brilliant Zircon,5,26,,"40,000c"
Paired,Weapons,"For use on 2 weapons. These weapons become bonded, gaining extra magical effects when wielded together. Effects depend on the weapons chosen, but are greater the more similar the weapons are.",Brilliant Garnet,5,26,,"40,000c"
Possession,Weapons,This weapon can only be picked up and held by the wielder.,Brilliant Citrine,5,26,,"40,000c"
Spell Drain,Weapons,Attacks with this weapon expend one of the target’s spells before they can use it.,Brilliant Sphene,5,26,,"40,000c"
Infernal Wound,Weapons,Attacks with this weapon reduce the target’s maximum HP by 2.,Perfect Ruby,6,30,,"50,000c"
Dervish,Weapons,"This weapon can fly and attack on its own. 1H weapons move 2 spaces per action, 2H weapons move 1 space per action.",Perfect Pearl,6,30,,"50,000c"
Constricting,Weapons,"Upon a successful attack, the wielder can choose for this weapon to constrict the target, preventing Move actions and dealing 1 damage (bypassing Armor) each turn. The weapon cannot be used for anything else during this time.",Perfect Emerald,6,30,,"60,000c"
Mimetic,Weapons,The wielder may turn this weapon into any other weapon for 5 turns for 1 action. Usage of this weapon is still dependent on the wielder’s skills.,Perfect Sapphire,6,30,,"70,000c"
Ability Trickster,Weapons,Basic Attacks with this weapon use a different Attack of your choice.,Perfect Opal,6,30,,"80,000c"
Buoyant,Weapons/Armor,"This weapon or armor will float on liquid, no matter its material.",Chipped Aquamarine,1,10,,"6,200c"
Stoneset,Weapons/Armor,"The wielder may set this weapon or armor into a natural surface, whereupon it can only be removed by those who meet the wielder’s criteria.",Chipped Orthoclase,1,10,,"6,500c"
Sorcery,Weapons/Armor,This weapon or armor grants its wielder +3 Arcana.,Flawed Amethyst,2,14,X,"10,000c"
Homefinding,Weapons/Armor,This weapon or armor will guide its wielder to the location that they chose upon enchantment.,Flawed Pearl,2,14,,"10,000c"
Speed,Weapons/Armor,This weapon or armor allows its wielder to run 2 spaces per Move action. Does not affect swim/jump/climb speed.,Citrine,3,18,X,"20,000c"
Spell Extending,Weapons/Armor,Any spells cast by the wielder of this weapon or armor last 1 more turn.,Quartz,3,18,X,"20,000c"
Spell Heightening,Weapons/Armor,"Any spells cast by the wielder of this weapon or armor deal an extra 1 die of damage, or heal an extra 1 die of HP.",Sphene,3,18,X,"20,000c"
Sublime Bane,Weapons/Armor,This weapon or armor gives its wielder +2 to all Attacks and Defenses against anyone who rolled a higher initiative.,Peridot,3,18,X,"20,000c"
Chorus,Weapons/Armor,"The wielder of this weapon or armor may have it record speech and sound, and to play back these recordings on whatever conditions they so choose.",Pearl,3,18,,"20,000c"
Unseen,Weapons/Armor,This weapon or armor is invisible.,Diamond,3,18,,"20,000c"
Answerer,Weapons/Armor,This weapon or armor forces an adjacent target to speak the truth.,Flawless Amethyst,4,22,,"30,000c"
Corrosion Nix,Weapons/Armor,This weapon or armor is immune to acid and rust effects.,Flawless Diamond,4,22,,"30,000c"
Rapid Casting,Weapons/Armor,"Upon enchantment, the user of this weapon or armor must choose a school of magic. All spells that the user casts within this school has an action cost of -1, down to a minimum of 1.",Flawless Aquamarine,4,22,,"30,000c"
Mastery,Weapons/Armor,Any skill or action penalties the wielder suffers from using this weapon or armor are minimized to -1.,Brilliant Diamond,5,26,,"40,000c"
Weightless,Weapons/Armor,"This weapon or armor is weightless, halving their requirements.",Perfect Lapis Lazuli,6,30,,"50,000c"
Intelligent,Weapons/Armor,"This weapon or armor has a mind and a voice, and will constantly use both.",Perfect Amethyst,6,30,,"60,000c"
